clase,llave,descripcion,base_gravable_pct,tarifa_pct,base_minima,cuentas_contables,conceptos
ICA,3077,RETE ICA SERVICIOS 5.0 SANTA ROSA,100.0,0.5,0.0,23680342        RETE ICA SERVICIOS 5.0 SANTA,Compra de servicios | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3079,RETE ICA SERVICIOS 5.0 VILLA MARIA,100.0,0.5,0.0,23680343        RETE ICA SERVICIOS 5.0 VILLA,Compra de servicios | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3076,RETE ICA SERVICIOS 6.0 VILLAMARIA,100.0,0.6,0.0,23680350        RETE ICA SERVICIOS 6.0 VILLAM,Compra de servicios | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3043,RETE ICA SERVICIOS 6.5 ARMENIA,100.0,0.7,0.0,23680212        RETE ICA COMPRAS 7 CARTAGENA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota crédito de servicios - venta | Nota débito de servicios - compra
ICA,3042,RETE ICA SERVICIOS 6.5 ARMENIA,100.0,0.65,0.0,23680324        RETE ICA SERVICIOS 6.5 ARMENI,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3072,RETE ICA SERVICIOS 6.6 CALI,100.0,0.66,0.0,23680346        RETE ICA SERVICIOS 6.6 CALI,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3061,RETE ICA SERVICIOS 7.3 ARMENIA,100.0,0.73,0.0,23680334        RETE ICA SERVICIOS 7.3 ARMENI,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3038,RETE ICA SERVICIOS 7.36 BOGOTA,100.0,0.736,0.0,23680322        RETE ICA SERVICIOS 7.36 BOGOT,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3080,RETE ICA SERVICIOS 7.60 BOGOTA,100.0,0.76,0.0,23680351        RETE ICA SERVICIOS 7.60 BOGOT,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3071,RETE ICA SERVICIOS 8.0 BARRANQUILLA,100.0,0.8,0.0,23680345        RETE ICA SERVICIOS 8.0 BARRAN,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3069,RETE ICA SERVICIOS 8.0 FILANDIA,100.0,0.8,0.0,23680340        RETE ICA SERVICIOS 8.0 FILAND,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3074,RETE ICA SERVICIOS 8.0 SALENTO,100.0,0.8,0.0,23680348        RETE ICA SERVICIOS 8.0 SALENT,Compra de servicios | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3063,RETE ICA SERVICIOS 8.56 CARTAGENA,100.0,0.856,0.0,23680336        RETE ICA SERVICIOS 8.56 CARTA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3054,RETE ICA SERVICIOS 8.66 BOGOTA,100.0,0.866,0.0,23680320        RETE ICA SERVICIOS 8.66 BOGOT,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3060,RETE ICA SERVICIOS 9.0 ARMENIA,100.0,0.9,0.0,23680333        RETE ICA SERVICIOS 9.0 ARMENI,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3085,RETE ICA SERVICIOS 9.0 ARMENIA,100.0,0.9,0.0,23680333        RETE ICA SERVICIOS 9.0 ARMENI,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3075,RETE ICA SERVICIOS 9.0 FILANDIA,100.0,0.9,0.0,23680349        RETE ICA SERVICIOS 9.0 FILAND,Compra de servicios | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3067,RETE ICA SERVICIOS 9.0 PEREIRA,100.0,0.9,0.0,23680338        RETE ICA SERVICIOS 9.0 PEREIR,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3001,RETE ICA VENTAS 3.8 ACTIV.201,100.0,1.9,1562484.0,13551801        IMPUESTO DE INDUSTRIA Y COMER,Devolución de venta | Ventas
ICA,3016,RETEICA COMPRA 11.04 BOGOTA - NOUTILIZAR,100.0,0.552,980000.0,23680208        RETE ICA COMPRAS 11.04 BOGOTA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3018,RETEICA COMPRA 5.5,100.0,0.275,1656232.0,23680207        RETE ICA COMPRAS 5.5,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3019,RETEICA COMPRAS 3.6 ARMENIA,100.0,0.36,226000.0,23680209        RETE ICA COMPRAS 3.6 ARMENIA,Compra de servicios | Entradas por compra y sobrecostos
ICA,3086,RETEICA SERVICIOS 10 PEREIRA,100.0,1.0,0.0,23680353        RETEICA SERVICIOS 10 PEREIRA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota crédito de servicios - venta | Nota débito de servicios - compra
ICA,3087,RETEICA SERVICIOS 10 PEREIRA,100.0,1.0,0.0,23680353        RETEICA SERVICIOS 10 PEREIRA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3025,RETEICA SERVICIOS 10 PEREIRA,100.0,0.5,0.0,23680305        RETE ICA SERVICIOS 10 ACTIV 3,Compra de servicios | Nota débito de servicios - compra
ICA,3030,RETEICA SERVICIOS 3.5 - ARMENIA,100.0,0.35,226000.0,23680314        RETE ICA SERVICIOS 3.5,Compra de servicios
ICA,3032,RETEICA SERVICIOS 3.5 - ARMENIA,100.0,0.35,226000.0,23680314        RETE ICA SERVICIOS 3.5,Compra de servicios
ICA,3034,RETEICA SERVICIOS 3.6 ARMENIA,100.0,0.36,0.0,23680319        RETE ICA SERVICIOS 3.6 ARMENI,Compra de servicios
ICA,3051,"RETEICA SERVICIOS 6,9 BOGOTA",100.0,0.69,0.0,"23680329        RETE ICA SERVICIOS 6,9 BOGOTA",Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3089,RETEICA SERVICIOS 7.5 ARMENIA,100.0,0.75,0.0,23680355        RETE ICA COMPRAS 7.5 ARMENIA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3082,RETEICA SERVICIOS 8.0 ARMENIA,100.0,0.8,0.0,23680354        RETEICA SERVICIOS 8.0 ARMENIA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3029,RETEICA SERVICIOS 9.66 BOGOTA,100.0,0.966,0.0,23680312        RETE ICA SERVICIOS 9.66 BOGOT,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3028,RETEICA SERVICIOS 9.66 BOGOTA NO UTILIZA,100.0,0.483,145000.0,,
ICA,3046,RETENCION DE ICA SERVICIOS 10.0 ARMENIA,100.0,1.0,0.0,23680327        RETE ICA SERVICIOS 10.0 ARMEN,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3044,RETENCION DE ICA SERVICIOS 3.4 ARMENIA,100.0,0.34,0.0,23680325        RETE ICA SERVICIOS 3.4 ARMENI,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3049,RETENCION DE ICA SERVICIOS 3.5 CARTAGENA,100.0,0.35,0.0,23680328        RETE ICA SERVICIOS 3.5 CARTAG,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3053,RETENCION DE ICA SERVICIOS 4.5 CARTAGENA,100.0,0.45,0.0,23680330        RETE ICA SERVICIOS 4.5 CARTAG,Compra de servicios | Devoluciones y ajustes de compras
ICA,3045,RETENCION DE ICA SERVICIOS 7.0 ARMENIA,100.0,0.7,0.0,23680326        RETE ICA SERVICIOS 7.0 ARMENI,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
